Address,Cross_Street,Keymap,Time,Incident_Type,Response,lat,lon
11400 FUQUA ST,GULF FWY ENTR IB,576U,10/10/2019 23:05,TRAFFIC HAZARD/NON URGENT,N,29.61469,-95.217551
13098 COOPERS HAWK DR , ,377W,10/10/2019 22:38,CRASH/MAJOR/NON FATAL,N,29.925758,-95.190649
20698 ALDINE WESTFIELD RD , ,333Q,10/10/2019 22:38,CRASH/MAJOR/NON FATAL,N,30.014737,-95.377028
7200 PINEMONT DR,BLK LANGFIELD RD,451E,10/10/2019 22:31,CRASH/MINOR,N,29.8414568627451,-95.4991699019608
10200 WESTVIEW DR,BLK MURRAYHILL DR,450W,10/10/2019 22:30,CRASH/MAJOR/NON FATAL,N,29.790866,-95.549237
11998 S SAM HOUSTON PKWY W , ,570A,10/10/2019 22:07,CRASH/MINOR,N,29.6053344,-95.4772572
14700 HIRAM CLARKE RD,BLK SMOOTH OAK LN,571V,10/10/2019 22:03,CRASH/MINOR,N,29.613215,-95.445998
2298 CAROLINE ST , ,493U,10/10/2019 21:59,CRASH/MINOR,N,29.745844,-95.370008
1003 W OREM DR , ,573N,10/10/2019 21:54,CRASH/MINOR/FSGI,N,29.6277989,-95.4136416
7200 SOUTHWEST FWY OB , ,530G,10/10/2019 21:52,CRASH/MINOR/DISTURBANCE,N,29.7313826,-95.3951555
601 PINELOCH DR , ,617M,10/10/2019 21:48,CRASH/MINOR,N,29.570342,-95.149306
9530 MAIN ST,BLK BUFFALO SPEEDWAY,532P,10/10/2019 20:37,CRASH/MINOR,N,29.6569803,-95.4418238
1601 TEXAS ST , ,493R,10/10/2019 20:31,TRAFFIC HAZARD/NON URGENT,N,29.756857,-95.357192
9550 BISSONNET ST,BLK PLAINFIELD ST,530S,10/10/2019 20:08,CRASH/MAJOR/NON FATAL,N,29.6764688,-95.5301454
9889 BELLAIRE BLVD,BLK W SAM HOUSTON PKWY S,529H,10/10/2019 19:30,CRASH/MINOR/DISTURBANCE,N,29.7050898,-95.5193628
735 LINK RD,BLK EASTMAN ST,453T,10/10/2019 19:18,CRASH/MAJOR/NON FATAL,N,29.8083852550336,-95.3797065234899
3352 OLD SPANISH TRL,BLK PEERLESS ST,533L,10/10/2019 18:19,CRASH/MINOR,N,29.7015891111111,-95.3714433333333
